21:38:10: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 51] Logger initialized
21:38:10: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 0.0, 4.0) m/s
21:38:10: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE ALTITUDE: 1
21:38:10: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 0.0, 1.0) m/s
21:38:10: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE ALTITUDE: -1
21:38:11: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 0.0, 0.6666666666666666) m/s
21:38:11: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 0.0, 0.5) m/s
21:38:12: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 0.0, 0.4) m/s
21:38:12: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 0.0, 0.3333333333333333) m/s
21:38:13: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 0.0, 0.2857142857142857) m/s
21:38:13: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 2.5, 0.25) m/s
21:38:13: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: 63.43494882292201
21:38:14: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 4.444444444444445, 0.2222222222222222) m/s
21:38:14: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: 90.0
21:38:14: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 6.0, 0.2) m/s
21:38:14: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: 116.56505117707799
