21:38:10: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
21:38:10: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 139] Connected!
21:38:10: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE ALTITUDE: 1
21:38:10: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE ALTITUDE: -1
21:38:13: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: 63.43494882292201
21:38:14: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: 90.0
21:38:14: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: 116.56505117707799
21:38:15: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: 45.0
21:38:15: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: 63.43494882292201
21:38:16: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: 90.0
21:38:16: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: 26.565051177077994
21:38:17: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: 45.0
21:38:17: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: 90.0
21:38:18: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: 45.0
21:38:18: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: 90.0
21:38:19: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: 135.0
21:38:19: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: -26.565051177077994
21:38:20: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: -45.0
21:38:20: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: -90.0
21:38:21: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: -45.0
21:38:21: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: -90.0
21:38:22: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: -135.0
21:38:22: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: -63.43494882292201
21:38:23: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: -90.0
21:38:23: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: -116.56505117707799
21:38:24: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: -45.00000000000005
21:38:24: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: -63.43494882292201
21:38:25: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 83] Command output: CHANGE YAW: -90.0
