20:07:25: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
20:07:25: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | main | 119] Connected!
20:07:25: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:26: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:27: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:28: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:29: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:30: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:31: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:32: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:33: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:34: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Disconnected
20:07:35: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Disconnected
20:07:36: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Disconnected
20:07:37: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Disconnected
20:07:38: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:39: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:40: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:41: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:42: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:43: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:44: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:45: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
20:07:46: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Heartbeat receiver output: Connected
